"time_s","lin_acc_x","lin_acc_y","lin_acc_z","lin_acc_abs"
1.758206795E1,2.247625738E-1,-3.333251178E-1,3.814950943E0,3.836075409E0
1.760058555E1,5.506037176E-2,-5.063380003E-1,3.828213692E0,3.861946386E0
1.761914878E1,1.101213619E-1,-4.709023237E-1,3.020477295E0,3.058947336E0
1.763775764E1,3.014907837E-1,-3.768004477E-1,1.593132019E0,1.664615541E0
1.765632097E1,4.810866117E-1,-3.958861232E-1,2.584476471E-1,6.745111836E-1
1.767482660E1,4.655877948E-1,-5.687535405E-1,-6.748952866E-1,9.978658388E-1
1.769340175E1,-9.340931475E-2,-8.603541255E-1,-8.974828720E-1,1.246759811E0
1.771196503E1,-2.906484604E-1,-1.191111922E0,-4.413337708E-1,1.303073151E0
1.773057394E1,-2.922094464E-1,-1.331777215E0,1.591491699E-2,1.363550584E0
1.774913717E1,-1.165461317E-1,-1.357874870E0,-4.676151276E-2,1.363669243E0
1.776765472E1,5.815086886E-2,-1.291130543E0,-4.711713791E-1,1.375646056E0
1.778621800E1,1.334826797E-1,-1.149011731E0,-9.081983566E-1,1.470669861E0
1.780482686E1,-5.304069817E-2,-9.763366580E-1,-1.089890480E0,1.464208948E0
1.782336029E1,-2.923662663E-1,-9.395104647E-1,-1.075978279E0,1.458042250E0
1.784192357E1,-5.970570445E-1,-9.700586796E-1,-7.546854019E-1,1.366397092E0
1.786047097E1,-6.536810994E-1,-1.016175270E0,-2.055625916E-1,1.225629283E0
1.787903420E1,-6.608779430E-1,-1.065585613E0,1.759328842E-1,1.266169315E0
1.789764305E1,-5.793558359E-1,-1.019951224E0,2.198944092E-1,1.193443436E0
1.791620633E1,-4.748356938E-1,-8.511620760E-1,-3.071022034E-2,9.751353411E-1
1.793476956E1,-3.207207918E-1,-7.062470913E-1,-6.259117126E-1,9.967006834E-1
1.795328717E1,-2.712597251E-1,-5.523616076E-1,-1.268769264E0,1.410127877E0
1.797185040E1,-5.358108282E-1,-4.392720461E-1,-1.547453880E0,1.695484204E0
1.799045925E1,-7.725575566E-1,-4.411067963E-1,-1.493880272E0,1.738706028E0
1.800897691E1,-8.762150407E-1,-3.904914856E-1,-1.169258118E0,1.512415599E0
1.802754014E1,-7.012099028E-1,-2.882958651E-1,-7.860040665E-1,1.092067867E0
1.804610336E1,-5.099236965E-1,-2.123501301E-1,-5.866832733E-1,8.057989931E-1
1.806471342E1,-5.759053230E-1,-2.074607611E-1,-4.535703659E-1,7.618615263E-1
1.808324571E1,-6.573611498E-1,-1.801047325E-1,-9.059238434E-2,6.875815414E-1
1.810180894E1,-6.543374062E-1,-2.021796703E-1,1.856031418E-1,7.095650685E-1
1.812035633E1,-6.211366057E-1,-2.645634413E-1,-1.438350677E-1,6.902847414E-1
1.813891956E1,-7.069445848E-1,-1.592721939E-1,-7.081956863E-1,1.013251898E0
1.815752842E1,-5.649276972E-1,-9.926569462E-2,-1.220533371E0,1.348591373E0
1.817609170E1,-4.031987488E-1,-5.323278904E-2,-1.282843590E0,1.345767676E0
1.819465488E1,-2.398061752E-1,-2.492499352E-2,-8.788461685E-1,9.113170935E-1
1.821317253E1,-2.115759850E-1,-4.935860634E-3,-5.282878876E-1,5.691017943E-1
1.823173576E1,-2.547891140E-1,9.355533123E-2,-5.473346710E-1,6.109380776E-1
1.825034581E1,-1.627383232E-1,1.803472042E-1,-8.902301788E-1,9.227776803E-1
1.826886363E1,-1.311248541E-2,2.464090586E-1,-1.298108101E0,1.321353096E0
1.828742550E1,1.587316394E-2,3.617030382E-1,-1.480428696E0,1.524057141E0
1.830598873E1,6.082442403E-2,3.938610554E-1,-1.274028778E0,1.334906539E0
1.832459784E1,6.838926673E-2,3.968870640E-1,-8.562326431E-1,9.462191990E-1
1.834316086E1,-8.658957481E-2,3.728977442E-1,-5.108680725E-1,6.383859879E-1
1.836172514E1,-1.217791736E-1,3.615757227E-1,-2.644395828E-1,4.642148892E-1
1.838024170E1,-1.265726089E-1,4.902228117E-1,-2.208147049E-1,5.523569175E-1
1.839880493E1,-2.472367585E-1,6.266293526E-1,-4.965620041E-1,8.368776399E-1
1.841738404E1,-5.533753633E-1,7.742744684E-1,-7.720699310E-1,1.225486525E0
1.843594722E1,-7.155386806E-1,9.152067900E-1,-6.747016907E-1,1.343436431E0
1.845451045E1,-6.940491199E-1,9.683336020E-1,-2.976884842E-1,1.228003493E0
1.847305790E1,-6.501572132E-1,8.471233845E-1,-1.118888855E-1,1.073704593E0
1.849162113E1,-4.582131803E-1,6.566550732E-1,5.199241638E-2,8.024078857E-1
1.851022998E1,-4.630881250E-1,4.979990721E-1,6.274833679E-1,9.253048494E-1
1.852879321E1,-5.298437476E-1,1.972056627E-1,1.418420792E0,1.526938772E0
1.854731086E1,-4.530438781E-1,-2.248461246E-1,1.508393288E0,1.590928925E0
1.856587410E1,-3.284449577E-1,-3.914302588E-1,1.279716492E0,1.377957923E0
1.858448295E1,3.243582249E-1,-2.769376040E-1,1.646875381E0,1.701205813E0
1.860304623E1,9.362112880E-1,-4.083676338E-1,2.034575462E0,2.276566057E0
1.862161050E1,7.565689087E-1,-4.885775447E-1,2.253099442E0,2.426429810E0
1.864012706E1,2.674295306E-1,-4.371379614E-1,2.267620087E0,2.324803004E0
1.865869029E1,1.527842879E-1,-4.267243147E-1,1.762403488E0,1.819753482E0
1.867729910E1,4.038762450E-1,-4.155733585E-1,1.145293236E0,1.283555154E0
1.869586232E1,8.761935234E-1,-3.242675662E-1,1.021621704E0,1.384404367E0
1.871442665E1,1.276444674E0,-4.150123596E-1,9.738855362E-1,1.658312184E0
1.873294321E1,1.322371960E0,-6.263152361E-1,5.160951614E-1,1.551545227E0
1.875150644E1,1.247034788E0,-6.586424112E-1,-1.644897461E-2,1.410381564E0
1.877011529E1,1.512294292E0,-6.353572607E-1,-3.536920547E-1,1.678037826E0
1.878867982E1,1.592078447E0,-5.742189884E-1,-6.637601852E-1,1.817971070E0
1.880719618E1,1.401022553E0,-5.779971480E-1,-8.500480652E-1,1.737678512E0
1.882575941E1,1.301553965E0,-7.309755683E-1,-6.347532272E-1,1.622121963E0
1.884433847E1,1.127507806E0,-7.279523611E-1,-2.715463638E-1,1.369279343E0
1.886290170E1,1.073874593E0,-6.777729988E-1,-3.414516449E-1,1.314979888E0
1.888146967E1,1.004700065E0,-4.015339613E-1,-6.612186432E-1,1.268014920E0
1.890001232E1,1.184132814E0,-2.039659023E-1,-1.016578674E0,1.573913852E0
1.891857555E1,1.328879952E0,-1.730513573E-1,-1.382513046E0,1.925411910E0
1.893718446E1,1.294371128E0,-2.134928703E-1,-1.673518181E0,2.126414570E0
1.895612035E1,1.120632648E0,-2.528859377E-1,-1.546001434E0,1.926107283E0
1.897500821E1,1.062265396E0,-2.623696327E-1,-1.191138268E0,1.617422631E0
1.899394274E1,9.472233653E-1,-2.917752266E-1,-1.096109390E0,1.477775586E0
1.901292394E1,7.910765409E-1,-2.586175203E-1,-1.269780159E0,1.518231460E0
1.903185810E1,7.397578955E-1,-2.588955164E-1,-1.815847874E0,1.977769484E0
1.905079258E1,7.285197973E-1,-2.476574183E-1,-2.333393574E0,2.456990204E0
1.906968045E1,6.386808157E-1,-1.138960123E-1,-2.592299938E0,2.672247080E0
1.908861493E1,5.383626223E-1,-1.915740967E-2,-2.579361439E0,2.635015512E0
1.910759597E1,5.275877714E-1,3.808403015E-2,-2.042610168E0,2.109989467E0
1.912649993E1,4.886878133E-1,7.680237293E-2,-1.362419128E0,1.449448262E0
1.914543441E1,1.838538647E-1,1.374363899E-2,-1.063535690E0,1.079397654E0
1.916435258E1,-1.233115792E-1,1.419818401E-2,-8.584775925E-1,8.674048137E-1
1.918310165E1,-1.017449200E-1,1.569341421E-1,-6.738576889E-1,6.993314941E-1
